annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;combinaison_triee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009196;MERCREDI;01/07/2009;31/08/2009;34;5;28;13;29;4;5-13-28-29-34+4;5-13-28-29-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009197;SAMEDI  ;04/07/2009;03/09/2009;39;4;8;43;27;3;4-8-27-39-43+3;4-8-27-39-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009198;LUNDI   ;06/07/2009;05/09/2009;12;31;32;44;45;2;12-31-32-44-45+2;12-31-32-44-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009199;MERCREDI;08/07/2009;07/09/2009;16;4;10;6;5;3;4-5-6-10-16+3;4-5-6-10-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009200;SAMEDI  ;11/07/2009;10/09/2009;14;17;35;5;42;1;5-14-17-35-42+1;5-14-17-35-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009201;LUNDI   ;13/07/2009;12/09/2009;26;2;20;34;18;1;2-18-20-26-34+1;2-18-20-26-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009202;MERCREDI;15/07/2009;14/09/2009;4;1;23;14;25;10;1-4-14-23-25+10;1-4-14-23-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009203;SAMEDI  ;18/07/2009;17/09/2009;44;14;26;34;9;9;9-14-26-34-44+9;9-14-26-34-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009204;LUNDI   ;20/07/2009;19/09/2009;27;23;44;34;5;1;5-23-27-34-44+1;5-23-27-34-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009205;MERCREDI;22/07/2009;21/09/2009;24;35;45;28;17;6;17-24-28-35-45+6;17-24-28-35-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009206;SAMEDI  ;25/07/2009;24/09/2009;27;40;3;14;33;9;3-14-27-33-40+9;3-14-27-33-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009207;LUNDI   ;27/07/2009;26/09/2009;18;47;7;13;48;4;7-13-18-47-48+4;7-13-18-47-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009208;MERCREDI;29/07/2009;28/09/2009;16;25;14;35;3;3;3-14-16-25-35+3;3-14-16-25-35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009209;SAMEDI  ;01/08/2009;01/10/2009;44;10;18;45;22;6;10-18-22-44-45+6;10-18-22-44-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009210;LUNDI   ;03/08/2009;03/10/2009;9;38;18;26;49;8;9-18-26-38-49+8;9-18-26-38-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009211;MERCREDI;05/08/2009;05/10/2009;40;10;29;20;43;7;10-20-29-40-43+7;10-20-29-40-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009212;SAMEDI  ;08/08/2009;08/10/2009;41;20;16;38;2;9;2-16-20-38-41+9;2-16-20-38-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009213;LUNDI   ;10/08/2009;10/10/2009;5;22;31;2;24;6;2-5-22-24-31+6;2-5-22-24-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009214;MERCREDI;12/08/2009;12/10/2009;6;33;17;34;39;5;6-17-33-34-39+5;6-17-33-34-39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009215;SAMEDI  ;15/08/2009;15/10/2009;1;41;32;24;27;9;1-24-27-32-41+9;1-24-27-32-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009216;LUNDI   ;17/08/2009;17/10/2009;2;9;17;14;25;9;2-9-14-17-25+9;2-9-14-17-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009217;MERCREDI;19/08/2009;19/10/2009;35;42;7;33;28;10;7-28-33-35-42+10;7-28-33-35-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009218;SAMEDI  ;22/08/2009;22/10/2009;31;21;8;27;29;10;8-21-27-29-31+10;8-21-27-29-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
